ts,bx,by,bz
1717632000000,54.9,114.6,3.6
1717632000020,52.9,115.6,2.2
1717632000040,52.5,117.9,2.7
1717632000060,55.3,117.7,4.2
1717632000080,55.8,117.9,5.7
1717632000100,58.9,118.8,8.7
1717632000120,61.5,119.8,9.1
1717632000140,63.8,119.1,12.8
1717632000160,66.4,120.0,14.9
1717632000180,70.0,120.1,15.1
1717632000200,74.0,118.3,16.3
1717632000220,76.3,118.8,19.0
1717632000240,81.6,117.9,24.8
1717632000260,83.7,117.1,26.2
1717632000280,88.2,115.7,26.5
1717632000300,90.9,117.3,27.9
1717632000320,95.1,116.1,31.2
1717632000340,99.4,114.5,33.8
1717632000360,103.8,113.7,36.6
1717632000380,105.2,112.7,38.8
1717632000400,108.8,112.6,41.5
1717632000420,111.6,113.6,43.4
1717632000440,114.6,111.6,46.0
1717632000460,116.8,110.5,46.5
1717632000480,120.4,110.9,50.6
1717632000500,123.1,112.9,52.9
1717632000520,125.3,111.4,53.8
1717632000540,128.2,109.7,54.9
1717632000560,131.0,108.4,56.9
1717632000580,135.4,109.0,59.1
1717632000600,137.7,108.1,62.8
1717632000620,140.1,106.6,66.5
1717632000640,143.7,105.6,67.5
1717632000660,146.3,105.0,68.0
1717632000680,149.6,102.4,71.1
1717632000700,152.5,100.3,74.2
1717632000720,155.4,99.5,77.0
1717632000740,158.9,95.9,78.4
1717632000760,161.5,96.1,81.2
1717632000780,163.2,94.5,85.1
1717632000800,164.0,93.4,86.2
1717632000820,165.8,92.0,89.5
1717632000840,169.6,89.9,89.6
1717632000860,172.4,87.9,92.1
1717632000880,173.5,86.7,95.8
1717632000900,175.0,86.7,99.0
1717632000920,177.4,85.6,101.5
1717632000940,178.5,83.3,102.0
1717632000960,182.3,83.4,102.4
1717632000980,183.2,81.5,107.3
1717632001000,186.0,80.6,107.5
1717632001020,188.3,78.4,111.5
1717632001040,188.7,76.6,111.3
1717632001060,188.3,74.7,115.0
1717632001080,189.7,73.2,116.3
1717632001100,190.5,69.2,117.7
1717632001120,191.7,67.2,121.9
1717632001140,191.5,65.2,120.4
1717632001160,193.3,62.1,123.3
1717632001180,194.4,59.7,124.8
1717632001200,194.2,57.3,127.9
1717632001220,196.0,54.2,130.3
1717632001240,197.2,52.9,134.4
1717632001260,198.2,50.9,135.9
1717632001280,196.7,50.0,137.0
1717632001300,198.4,48.8,137.9
1717632001320,198.3,46.7,142.5
1717632001340,197.2,45.5,143.5
1717632001360,196.4,43.3,146.4
1717632001380,195.4,39.9,146.2
1717632001400,192.9,37.3,147.6
1717632001420,192.8,34.8,150.8
1717632001440,195.6,31.2,153.0
1717632001460,193.7,30.9,155.5
1717632001480,192.4,29.3,157.4
1717632001500,189.5,27.0,158.0
1717632001520,188.6,24.0,161.2
1717632001540,188.6,21.4,161.2
1717632001560,186.6,19.3,161.8
1717632001580,186.5,16.4,161.9
1717632001600,183.8,14.1,164.7
1717632001620,182.8,12.4,166.7
1717632001640,183.1,10.0,166.6
1717632001660,182.1,8.1,165.5
1717632001680,180.4,6.4,166.1
1717632001700,179.0,4.8,167.0
1717632001720,176.9,2.6,168.6
1717632001740,173.9,-0.3,171.0
1717632001760,171.5,-3.2,171.1
1717632001780,168.6,-6.4,173.7
1717632001800,166.8,-8.1,176.6
1717632001820,163.8,-12.1,178.5
1717632001840,161.9,-14.2,181.0
1717632001860,160.4,-16.0,182.5
1717632001880,157.6,-19.8,182.7
1717632001900,153.4,-20.2,184.2
1717632001920,150.8,-23.4,185.5
1717632001940,147.1,-24.6,183.5
1717632001960,146.0,-28.2,184.7
1717632001980,143.2,-29.9,183.8
1717632002000,140.1,-30.5,186.6
1717632002020,138.3,-33.0,187.6
1717632002040,135.7,-34.2,187.4
1717632002060,132.5,-36.6,188.3
1717632002080,129.3,-36.8,189.4
1717632002100,123.8,-38.8,189.4
1717632002120,123.3,-40.7,189.7
1717632002140,118.6,-41.9,190.2
1717632002160,116.2,-44.8,193.9
1717632002180,112.2,-49.2,193.5
1717632002200,108.6,-51.7,193.3
1717632002220,105.6,-51.9,194.1
1717632002240,101.3,-54.8,194.7
1717632002260,98.6,-56.6,196.8
1717632002280,94.6,-58.9,198.2
1717632002300,92.8,-60.4,198.5
1717632002320,88.7,-61.5,199.0
1717632002340,85.9,-64.0,199.7
1717632002360,80.6,-67.0,195.7
1717632002380,76.3,-67.7,195.3
1717632002400,71.3,-68.7,197.1
1717632002420,66.9,-71.4,198.3
1717632002440,61.3,-72.9,198.7
1717632002460,58.2,-75.7,199.3
1717632002480,54.8,-77.5,198.8
1717632002500,52.2,-78.2,199.9
1717632002520,47.6,-79.1,195.6
1717632002540,43.9,-80.0,195.3
1717632002560,38.7,-83.2,196.7
1717632002580,33.2,-83.7,199.5
1717632002600,29.7,-86.5,200.0
1717632002620,26.5,-89.2,201.2
1717632002640,23.8,-92.0,202.4
1717632002660,20.0,-93.4,203.6
1717632002680,14.5,-96.2,203.8
1717632002700,10.3,-96.4,203.0
1717632002720,5.5,-95.7,201.7
1717632002740,3.6,-96.9,201.2
1717632002760,-2.0,-97.7,198.5
1717632002780,-4.6,-97.6,199.3
1717632002800,-9.1,-101.7,199.3
1717632002820,-13.0,-102.6,199.4
1717632002840,-15.8,-103.5,198.5
1717632002860,-18.7,-104.5,195.6
1717632002880,-21.9,-104.4,195.8
1717632002900,-24.6,-104.1,196.4
1717632002920,-28.5,-105.6,197.1
1717632002940,-32.7,-106.6,195.5
1717632002960,-37.3,-106.0,192.4
1717632002980,-41.6,-108.5,194.2
1717632003000,-45.6,-109.7,192.3
1717632003020,-47.6,-110.3,191.0
1717632003040,-51.5,-111.7,190.2
1717632003060,-56.0,-111.7,189.0
1717632003080,-59.1,-113.6,189.0
1717632003100,-62.8,-113.7,188.8
1717632003120,-67.4,-114.2,188.8
1717632003140,-68.9,-112.3,187.8
1717632003160,-72.1,-112.8,186.4
1717632003180,-76.0,-113.7,188.4
1717632003200,-78.6,-115.6,186.8
1717632003220,-81.7,-114.9,184.0
1717632003240,-83.2,-115.7,179.7
1717632003260,-84.7,-116.7,177.9
1717632003280,-86.6,-116.9,178.4
1717632003300,-91.5,-115.9,177.8
1717632003320,-93.2,-117.4,175.5
1717632003340,-96.3,-116.8,173.5
1717632003360,-97.8,-117.8,173.4
1717632003380,-101.7,-117.5,173.0
1717632003400,-103.7,-119.2,168.9
1717632003420,-104.7,-121.6,170.3
1717632003440,-108.3,-121.3,169.4
1717632003460,-110.4,-121.9,169.9
1717632003480,-111.3,-122.6,169.9
1717632003500,-114.2,-122.0,167.9
1717632003520,-115.0,-123.1,162.0
1717632003540,-117.3,-121.1,161.3
1717632003560,-117.2,-119.7,160.7
1717632003580,-119.1,-117.8,160.0
1717632003600,-120.8,-114.3,160.5
1717632003620,-123.4,-115.2,158.0
1717632003640,-122.6,-114.9,156.9
1717632003660,-124.2,-116.8,156.3
1717632003680,-125.0,-116.0,153.6
1717632003700,-126.0,-117.1,152.5
1717632003720,-126.3,-115.6,151.4
1717632003740,-126.5,-115.0,149.1
1717632003760,-126.1,-112.8,147.8
1717632003780,-127.4,-113.1,145.2
1717632003800,-127.8,-111.7,142.8
1717632003820,-127.1,-110.6,141.8
1717632003840,-128.7,-110.8,140.5
1717632003860,-130.0,-109.1,136.7
1717632003880,-130.7,-108.5,135.7
1717632003900,-132.3,-107.9,134.7
1717632003920,-131.7,-106.2,132.4
1717632003940,-132.7,-105.2,127.8
1717632003960,-131.4,-102.6,125.9
1717632003980,-130.6,-102.9,125.0
1717632004000,-129.1,-100.8,124.2
1717632004020,-129.7,-99.7,121.9
1717632004040,-128.4,-99.8,121.7
1717632004060,-127.0,-98.6,121.8
1717632004080,-125.5,-97.6,119.3
1717632004100,-124.2,-95.5,117.6
1717632004120,-122.3,-94.6,115.3
1717632004140,-120.8,-93.2,111.0
1717632004160,-120.3,-92.6,108.2
1717632004180,-119.2,-90.4,107.8
1717632004200,-119.2,-88.0,104.8
1717632004220,-117.5,-86.4,102.9
1717632004240,-117.8,-83.4,99.8
1717632004260,-117.0,-82.4,96.2
1717632004280,-114.4,-80.8,91.4
1717632004300,-114.3,-80.9,89.1
1717632004320,-112.7,-78.1,88.4
1717632004340,-109.3,-76.8,85.4
1717632004360,-108.4,-74.9,84.5
1717632004380,-107.3,-73.5,82.0
1717632004400,-103.2,-70.2,81.0
1717632004420,-100.3,-69.7,78.2
1717632004440,-98.4,-67.3,76.1
1717632004460,-97.4,-66.4,72.4
1717632004480,-94.9,-63.9,70.8
1717632004500,-92.9,-63.0,70.3
1717632004520,-89.6,-61.4,68.9
1717632004540,-86.8,-59.1,66.0
1717632004560,-83.8,-57.6,64.6
1717632004580,-80.2,-54.0,62.4
1717632004600,-77.3,-52.7,59.9
1717632004620,-73.4,-51.2,56.8
1717632004640,-69.5,-49.4,54.9
